date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,recovered,states,totalTestResults,totalTestResultsIncrease
9/8/2020,181722,352,18189,6542,979,32345,373258,77062011,483429,1975,1879,6271730,22136,2357307,56,90569489,577352
9/7/2020,181370,226,18156,6630,474,32116,372279,76578582,558855,1967,1879,6249594,28144,2331821,56,89992137,664605
9/6/2020,181144,447,18125,6700,499,32497,371805,76019727,700038,1960,1912,6221450,32921,2314245,56,89327532,827992
9/5/2020,180697,921,18089,6766,1187,33626,371306,75319689,761699,1956,1956,6188529,44744,2300418,56,88499540,966594
9/4/2020,179776,996,18012,6924,1227,34191,370119,74557990,849576,1943,1995,6143785,51513,2281748,56,87532946,1043734
9/3/2020,178780,1076,17894,6921,1491,34747,368892,73708414,680038,1928,2042,6092272,44621,2265262,56,86489212,881140
9/2/2020,177704,1026,17784,7087,1513,35667,367401,73028376,616999,1918,2024,6047651,30217,2230060,56,85608072,756867
9/1/2020,176678,1022,17655,7090,1839,35334,365888,72411377,654672,1902,2042,6017434,42421,2201023,56,84851205,816090
8/31/2020,175656,382,17537,7043,751,35423,364049,71756705,647110,1877,2077,5975013,31270,2183106,56,84035115,735472
8/30/2020,175274,474,17439,7268,662,35801,363298,71109595,697322,1870,2055,5943743,39285,2152344,56,83299643,826703
8/29/2020,174800,1008,17401,7413,1284,36516,362636,70412273,717934,1864,2062,5904458,43963,2139059,56,82472940,890451
8/28/2020,173792,1026,17304,7558,1627,37351,361352,69694339,727988,1856,2086,5860495,46126,2116889,56,81582489,907113
8/27/2020,172766,1124,17181,7717,1659,37529,359725,68966351,698585,1831,2125,5814369,43916,2099887,56,80675376,858792
8/26/2020,171642,1305,17046,7737,1819,38501,358066,68267766,602184,1809,2142,5770453,43627,2083058,56,79816584,737977
8/25/2020,170337,1140,16920,7863,1954,38842,356247,67665582,629365,1789,2163,5726826,36588,2052294,56,79078607,709581
8/24/2020,169197,352,16787,7851,1075,38776,354293,67036217,639701,1764,2118,5690238,34249,2019310,56,78369026,722679
8/23/2020,168845,574,16697,7949,698,39064,353218,66396516,585741,1737,2131,5655989,37325,1996283,56,77646347,709006
8/22/2020,168271,1028,16657,8207,1598,40017,352520,65810775,709705,1736,2204,5618664,45722,1984053,56,76937341,885309
8/21/2020,167243,1110,16563,8357,1767,41047,350922,65101070,701219,1730,2286,5572942,46195,1963656,56,76052032,869078
8/20/2020,166133,1134,16487,8483,1975,42081,349155,64399851,629703,1716,2335,5526747,43723,1945468,56,75182954,812540
8/19/2020,164999,1424,16377,8744,1996,43395,347180,63770148,646787,1705,2371,5483024,44882,1923539,56,74370414,785758
8/18/2020,163575,1195,16123,8866,2227,43848,345184,63123361,614380,1695,2468,5438142,40492,1887869,56,73584656,721938
8/17/2020,162380,419,15985,8871,1274,43596,342957,62508981,624196,1678,2447,5397650,37411,1864220,56,72862718,733865
8/16/2020,161961,618,15924,8958,685,44155,341683,61884785,742013,1665,2481,5360239,42322,1831798,56,72128853,853678
